idx	x_ft	y_ft
0	0.000	0.000
1	7.833	0.000
2	15.667	0.000
3	23.500	0.000
4	31.333	0.000
5	39.167	0.000
6	47.000	0.000
7	54.833	0.000
8	62.667	0.000
9	70.500	0.000
10	78.333	0.000
11	86.167	0.000
12	94.000	0.000
13	0.000	8.333
14	7.833	8.333
15	15.667	8.333
16	23.500	8.333
17	31.333	8.333
18	39.167	8.333
19	47.000	8.333
20	54.833	8.333
21	62.667	8.333
22	70.500	8.333
23	78.333	8.333
24	86.167	8.333
25	94.000	8.333
26	0.000	16.667
27	7.833	16.667
28	15.667	16.667
29	23.500	16.667
30	31.333	16.667
31	39.167	16.667
32	47.000	16.667
33	54.833	16.667
34	62.667	16.667
35	70.500	16.667
36	78.333	16.667
37	86.167	16.667
38	94.000	16.667
39	0.000	25.000
40	7.833	25.000
41	15.667	25.000
42	23.500	25.000
43	31.333	25.000
44	39.167	25.000
45	47.000	25.000
46	54.833	25.000
47	62.667	25.000
48	70.500	25.000
49	78.333	25.000
50	86.167	25.000
51	94.000	25.000
52	0.000	33.333
53	7.833	33.333
54	15.667	33.333
55	23.500	33.333
56	31.333	33.333
57	39.167	33.333
58	47.000	33.333
59	54.833	33.333
60	62.667	33.333
61	70.500	33.333
62	78.333	33.333
63	86.167	33.333
64	94.000	33.333
65	0.000	41.667
66	7.833	41.667
67	15.667	41.667
68	23.500	41.667
69	31.333	41.667
70	39.167	41.667
71	47.000	41.667
72	54.833	41.667
73	62.667	41.667
74	70.500	41.667
75	78.333	41.667
76	86.167	41.667
77	94.000	41.667
78	0.000	50.000
79	7.833	50.000
80	15.667	50.000
81	23.500	50.000
82	31.333	50.000
83	39.167	50.000
84	47.000	50.000
85	54.833	50.000
86	62.667	50.000
87	70.500	50.000
88	78.333	50.000
89	86.167	50.000
90	94.000	50.000
