rank	file	frame	n_code2	flag	verts_on	med_px	support
0	0000_nbacourt_2247_frame_0011_png.rf.166560.jpg	nbacourt_2247_frame_0011_png.rf.166560	4	FOLDED H	32	30.00	0.070
1	0001_nbacourt_0037_frame_0000_png.rf.3bdd02.jpg	nbacourt_0037_frame_0000_png.rf.3bdd02	4	FOLDED H	31	9.01	0.046
2	0002_nbacourt_0058_frame_0000_png.rf.6e41c7.jpg	nbacourt_0058_frame_0000_png.rf.6e41c7	4	FOLDED H	31	0.00	0.901
3	0003_nbacourt_0099_frame_0000_png.rf.ba32d5.jpg	nbacourt_0099_frame_0000_png.rf.ba32d5	4	FOLDED H	31	14.36	0.012
4	0004_nbacourt_0117_frame_0000_png.rf.dd179c.jpg	nbacourt_0117_frame_0000_png.rf.dd179c	4	FOLDED H	31	0.00	0.897
5	0005_nbacourt_0164_frame_0001_png.rf.1ecd79.jpg	nbacourt_0164_frame_0001_png.rf.1ecd79	4	FOLDED H	31	5.73	0.921
6	0006_nbacourt_0269_frame_0001_png.rf.ae4a92.jpg	nbacourt_0269_frame_0001_png.rf.ae4a92	4	FOLDED H	31	3.69	0.890
7	0007_nbacourt_0298_frame_0001_png.rf.d5dbd1.jpg	nbacourt_0298_frame_0001_png.rf.d5dbd1	4	FOLDED H	31	6.14	0.020
8	0008_nbacourt_0308_frame_0001_png.rf.e8a91b.jpg	nbacourt_0308_frame_0001_png.rf.e8a91b	4	FOLDED H	31	7.10	0.046
9	0009_nbacourt_0322_frame_0001_png.rf.fbc142.jpg	nbacourt_0322_frame_0001_png.rf.fbc142	4	FOLDED H	31	12.70	0.045
10	0010_nbacourt_0325_frame_0001_png.rf.fe1750.jpg	nbacourt_0325_frame_0001_png.rf.fe1750	4	FOLDED H	31	4.23	0.913
11	0011_nbacourt_0371_frame_0002_png.rf.3bea6b.jpg	nbacourt_0371_frame_0002_png.rf.3bea6b	4	FOLDED H	31	2.74	0.905
12	0012_nbacourt_0386_frame_0002_png.rf.4db7f4.jpg	nbacourt_0386_frame_0002_png.rf.4db7f4	4	FOLDED H	31	11.33	0.049
13	0013_nbacourt_0455_frame_0002_png.rf.a3f8b8.jpg	nbacourt_0455_frame_0002_png.rf.a3f8b8	4	FOLDED H	31	6.85	0.053
14	0014_nbacourt_0784_frame_0004_png.rf.2bd0d1.jpg	nbacourt_0784_frame_0004_png.rf.2bd0d1	4	FOLDED H	31	2.74	0.902
15	0015_nbacourt_0835_frame_0004_png.rf.6c1465.jpg	nbacourt_0835_frame_0004_png.rf.6c1465	4	FOLDED H	31	14.77	0.050
16	0016_nbacourt_0861_frame_0004_png.rf.888cc4.jpg	nbacourt_0861_frame_0004_png.rf.888cc4	4	FOLDED H	31	3.69	0.915
17	0017_nbacourt_0899_frame_0004_png.rf.b796f4.jpg	nbacourt_0899_frame_0004_png.rf.b796f4	4	FOLDED H	31	1.37	0.901
18	0018_nbacourt_0923_frame_0004_png.rf.de5fdf.jpg	nbacourt_0923_frame_0004_png.rf.de5fdf	4	FOLDED H	31	0.95	0.905
19	0019_nbacourt_0926_frame_0004_png.rf.e54608.jpg	nbacourt_0926_frame_0004_png.rf.e54608	4	FOLDED H	31	3.28	0.894
20	0020_nbacourt_0951_frame_0005_png.rf.01ddb8.jpg	nbacourt_0951_frame_0005_png.rf.01ddb8	4	FOLDED H	31	5.19	0.902
21	0021_nbacourt_1017_frame_0005_png.rf.4e7127.jpg	nbacourt_1017_frame_0005_png.rf.4e7127	4	FOLDED H	31	0.00	0.893
22	0022_nbacourt_1034_frame_0005_png.rf.6aac21.jpg	nbacourt_1034_frame_0005_png.rf.6aac21	4	FOLDED H	31	10.79	0.029
23	0023_nbacourt_1072_frame_0005_png.rf.96363e.jpg	nbacourt_1072_frame_0005_png.rf.96363e	4	FOLDED H	31	0.00	0.898
24	0024_nbacourt_1088_frame_0005_png.rf.abd567.jpg	nbacourt_1088_frame_0005_png.rf.abd567	4	FOLDED H	31	0.95	0.902
