frame	verdict
nbacourt_2247_frame_0011_png.rf.166560	no_lineup
nbacourt_0037_frame_0000_png.rf.3bdd02	no_lineup
nbacourt_0058_frame_0000_png.rf.6e41c7	no_lineup
nbacourt_0099_frame_0000_png.rf.ba32d5	no_lineup
nbacourt_0117_frame_0000_png.rf.dd179c	no_lineup
nbacourt_0164_frame_0001_png.rf.1ecd79	no_lineup
nbacourt_0269_frame_0001_png.rf.ae4a92	no_lineup
nbacourt_0298_frame_0001_png.rf.d5dbd1	no_lineup
nbacourt_0308_frame_0001_png.rf.e8a91b	no_lineup
nbacourt_0322_frame_0001_png.rf.fbc142	no_lineup
nbacourt_0325_frame_0001_png.rf.fe1750	no_lineup
nbacourt_0371_frame_0002_png.rf.3bea6b	no_lineup
nbacourt_0386_frame_0002_png.rf.4db7f4	no_lineup
nbacourt_0455_frame_0002_png.rf.a3f8b8	no_lineup
nbacourt_0784_frame_0004_png.rf.2bd0d1	no_lineup
nbacourt_0835_frame_0004_png.rf.6c1465	no_lineup
nbacourt_0861_frame_0004_png.rf.888cc4	no_lineup
nbacourt_0899_frame_0004_png.rf.b796f4	no_lineup
nbacourt_0923_frame_0004_png.rf.de5fdf	no_lineup
nbacourt_0926_frame_0004_png.rf.e54608	no_lineup
nbacourt_0951_frame_0005_png.rf.01ddb8	no_lineup
nbacourt_1017_frame_0005_png.rf.4e7127	no_lineup
nbacourt_1034_frame_0005_png.rf.6aac21	no_lineup
nbacourt_1072_frame_0005_png.rf.96363e	no_lineup
nbacourt_1088_frame_0005_png.rf.abd567	no_lineup
nbacourt_1124_frame_0005_png.rf.cc75c1	no_lineup
nbacourt_1624_frame_0009_png.rf.413dd8	no_lineup
nbacourt_1634_frame_0009_png.rf.5f2aeb	no_lineup
nbacourt_1675_frame_0009_png.rf.c90042	no_lineup
nbacourt_1752_frame_0011_png.rf.0a49de	no_lineup
nbacourt_1780_frame_0011_png.rf.8fb0b7	no_lineup
nbacourt_1797_frame_0011_png.rf.e5d8f0	no_lineup
nbacourt_1835_frame_0013_png.rf.3ec2e7	no_lineup
nbacourt_1851_frame_0013_png.rf.e513fa	no_lineup
nbacourt_1852_frame_0013_png.rf.eabab7	no_lineup
nbacourt_1896_frame_0017_png.rf.112aee	no_lineup
nbacourt_1898_frame_0017_png.rf.5a11e0	no_lineup
nbacourt_1905_frame_0017_png.rf.c32b22	no_lineup
nbacourt_1920_frame_0019_png.rf.084f1b	no_lineup
nbacourt_1924_frame_0019_png.rf.613f64	no_lineup
nbacourt_1929_frame_0019_png.rf.b89fb8	no_lineup
nbacourt_1933_frame_0020_png.rf.520d79	no_lineup
nbacourt_1936_frame_0020_png.rf.76f4ea	no_lineup
nbacourt_1939_frame_0020_png.rf.bb1237	no_lineup
nbacourt_2042_frame_0004_png.rf.0cbd06	no_lineup
nbacourt_2156_frame_0014_png.rf.85c8a0	no_lineup
nbacourt_2195_frame_0003_png.rf.81fea9	no_lineup
nbacourt_0327_frame_0002_png.rf.007972	no_lineup
nbacourt_0335_frame_0002_png.rf.08f74d	no_lineup
nbacourt_0503_frame_0002_png.rf.df9e8b	no_lineup
nbacourt_1427_frame_0007_png.rf.9d559e	no_lineup
nbacourt_1462_frame_0007_png.rf.d529d5	no_lineup
nbacourt_1489_frame_0007_png.rf.fd3854	no_lineup
nbacourt_1340_frame_0007_png.rf.078714	no_lineup
nbacourt_1386_frame_0007_png.rf.428669	no_lineup
nbacourt_1436_frame_0007_png.rf.a98cb9	no_lineup
nbacourt_1772_frame_0011_png.rf.74ab86	no_lineup
nbacourt_1781_frame_0011_png.rf.94b136	no_lineup
nbacourt_1790_frame_0011_png.rf.c44863	no_lineup
nbacourt_2067_frame_0005_png.rf.936ff9	no_lineup
nbacourt_1147_frame_0005_png.rf.ea014f	no_lineup
nbacourt_1153_frame_0005_png.rf.ecf0b1	no_lineup
nbacourt_1162_frame_0005_png.rf.f6b0c1	no_lineup
nbacourt_0010_frame_0000_png.rf.16392f	lineup
nbacourt_0006_frame_0000_png.rf.0e3002	lineup
nbacourt_0392_frame_0002_png.rf.53a05a	lineup
nbacourt_0396_frame_0002_png.rf.58bce3	lineup
nbacourt_0546_frame_0003_png.rf.11089c	lineup
nbacourt_0606_frame_0003_png.rf.58e4bf	lineup
nbacourt_0663_frame_0003_png.rf.9e06b9	lineup
nbacourt_0677_frame_0003_png.rf.ae64e5	lineup
nbacourt_0790_frame_0004_png.rf.3b608d	lineup
nbacourt_0806_frame_0004_png.rf.4abd82	lineup
nbacourt_0895_frame_0004_png.rf.aff5e0	lineup
nbacourt_1464_frame_0007_png.rf.d5a040	lineup
nbacourt_1608_frame_0009_png.rf.0e6688	lineup
nbacourt_1617_frame_0009_png.rf.2f71b5	lineup
nbacourt_1659_frame_0009_png.rf.99f109	lineup
nbacourt_1755_frame_0011_png.rf.118575	lineup
nbacourt_1778_frame_0011_png.rf.8d9f1d	lineup
nbacourt_2026_frame_0003_png.rf.42c5a6	lineup
nbacourt_2061_frame_0005_png.rf.029843	lineup
nbacourt_2091_frame_0006_png.rf.c52745	lineup
nbacourt_2092_frame_0006_png.rf.cdefeb	lineup
nbacourt_2123_frame_0008_png.rf.c5680c	lineup
nbacourt_2139_frame_0010_png.rf.82f361	lineup
