frame	n_code2	suspect_code2	median_reproj_ft	suspect_idx:err
nbacourt_0096_frame_0000_png.rf.b443f4	6	1	0.64	21:14.6
nbacourt_0135_frame_0000_png.rf.f9d679	6	1	0.64	21:14.6
nbacourt_0136_frame_0000_png.rf.fa1f9d	6	1	0.64	21:14.6
nbacourt_0025_frame_0000_png.rf.2ad52f	11	1	0.20	15:32.4
nbacourt_0951_frame_0005_png.rf.01ddb8	4	1	0.00	9:25.5
nbacourt_1034_frame_0005_png.rf.6aac21	4	1	0.00	9:25.5
nbacourt_1124_frame_0005_png.rf.cc75c1	4	1	0.00	9:25.5
nbacourt_2156_frame_0014_png.rf.85c8a0	4	1	0.00	21:76.9
nbacourt_1017_frame_0005_png.rf.4e7127	4	1	0.00	9:25.5
nbacourt_1072_frame_0005_png.rf.96363e	4	1	0.00	9:25.5
nbacourt_1088_frame_0005_png.rf.abd567	4	1	0.00	9:25.5
nbacourt_0835_frame_0004_png.rf.6c1465	4	1	0.00	9:25.5
nbacourt_0899_frame_0004_png.rf.b796f4	4	1	0.00	9:25.5
nbacourt_0923_frame_0004_png.rf.de5fdf	4	1	0.00	9:25.5
nbacourt_2247_frame_0011_png.rf.166560	4	1	0.00	11:38.1
nbacourt_1624_frame_0009_png.rf.413dd8	4	1	0.00	11:38.1
nbacourt_1634_frame_0009_png.rf.5f2aeb	4	1	0.00	11:38.1
nbacourt_1675_frame_0009_png.rf.c90042	4	1	0.00	11:38.1
nbacourt_1752_frame_0011_png.rf.0a49de	4	1	0.00	9:25.5
nbacourt_1780_frame_0011_png.rf.8fb0b7	4	1	0.00	9:25.5
nbacourt_1797_frame_0011_png.rf.e5d8f0	4	1	0.00	9:25.5
nbacourt_1835_frame_0013_png.rf.3ec2e7	4	1	0.00	9:25.5
nbacourt_1851_frame_0013_png.rf.e513fa	4	1	0.00	9:25.5
nbacourt_1852_frame_0013_png.rf.eabab7	4	1	0.00	9:25.5
nbacourt_1933_frame_0020_png.rf.520d79	4	1	0.00	9:25.5
nbacourt_1936_frame_0020_png.rf.76f4ea	4	1	0.00	9:25.5
nbacourt_1939_frame_0020_png.rf.bb1237	4	1	0.00	9:25.5
nbacourt_0784_frame_0004_png.rf.2bd0d1	4	1	0.00	21:76.9
nbacourt_0861_frame_0004_png.rf.888cc4	4	1	0.00	21:76.9
nbacourt_0926_frame_0004_png.rf.e54608	4	1	0.00	21:76.9
nbacourt_0164_frame_0001_png.rf.1ecd79	4	1	0.00	9:25.5
nbacourt_0308_frame_0001_png.rf.e8a91b	4	1	0.00	9:25.5
nbacourt_0325_frame_0001_png.rf.fe1750	4	1	0.00	9:25.5
nbacourt_0037_frame_0000_png.rf.3bdd02	4	1	0.00	16:53.2
nbacourt_2042_frame_0004_png.rf.0cbd06	4	1	0.00	9:25.5
nbacourt_2195_frame_0003_png.rf.81fea9	4	1	0.00	21:76.9
nbacourt_1920_frame_0019_png.rf.084f1b	4	1	0.00	9:25.5
nbacourt_1924_frame_0019_png.rf.613f64	4	1	0.00	9:25.5
nbacourt_1929_frame_0019_png.rf.b89fb8	4	1	0.00	9:25.5
nbacourt_0269_frame_0001_png.rf.ae4a92	4	1	0.00	21:76.9
nbacourt_0298_frame_0001_png.rf.d5dbd1	4	1	0.00	21:76.9
nbacourt_0322_frame_0001_png.rf.fbc142	4	1	0.00	21:76.9
nbacourt_0058_frame_0000_png.rf.6e41c7	4	1	0.00	9:25.5
nbacourt_0099_frame_0000_png.rf.ba32d5	4	1	0.00	9:25.5
nbacourt_0117_frame_0000_png.rf.dd179c	4	1	0.00	9:25.5
nbacourt_1611_frame_0009_png.rf.15b007	4	1	0.00	23:81.9
nbacourt_1665_frame_0009_png.rf.adf66e	4	1	0.00	23:81.9
nbacourt_1684_frame_0009_png.rf.e7a262	4	1	0.00	23:81.9
nbacourt_1340_frame_0007_png.rf.078714	5	1	0.00	3:9.8
nbacourt_1386_frame_0007_png.rf.428669	5	1	0.00	3:9.8
nbacourt_1436_frame_0007_png.rf.a98cb9	5	1	0.00	3:9.8
nbacourt_0371_frame_0002_png.rf.3bea6b	4	1	0.00	9:25.5
nbacourt_0386_frame_0002_png.rf.4db7f4	4	1	0.00	9:25.5
nbacourt_0455_frame_0002_png.rf.a3f8b8	4	1	0.00	9:25.5
nbacourt_1427_frame_0007_png.rf.9d559e	5	1	0.00	27:95.7
nbacourt_1462_frame_0007_png.rf.d529d5	5	1	0.00	27:95.7
nbacourt_1489_frame_0007_png.rf.fd3854	5	1	0.00	27:95.7
nbacourt_2193_frame_0003_png.rf.399b1c	5	1	0.00	11:19.5
nbacourt_1896_frame_0017_png.rf.112aee	4	1	0.00	21:76.9
nbacourt_1898_frame_0017_png.rf.5a11e0	4	1	0.00	21:76.9
nbacourt_1905_frame_0017_png.rf.c32b22	4	1	0.00	21:76.9
nbacourt_0327_frame_0002_png.rf.007972	5	1	0.00	9:4.5
nbacourt_0335_frame_0002_png.rf.08f74d	5	1	0.00	9:4.5
nbacourt_0503_frame_0002_png.rf.df9e8b	5	1	0.00	9:4.5
nbacourt_1696_frame_0010_png.rf.170808	5	1	0.00	27:5.7
nbacourt_1739_frame_0010_png.rf.bf1b66	5	1	0.00	27:5.7
nbacourt_1749_frame_0010_png.rf.df33f9	5	1	0.00	27:5.7
nbacourt_1772_frame_0011_png.rf.74ab86	5	1	0.00	0:15.2
nbacourt_1781_frame_0011_png.rf.94b136	5	1	0.00	0:15.2
nbacourt_1790_frame_0011_png.rf.c44863	5	1	0.00	0:15.2
nbacourt_1808_frame_0012_png.rf.477a29	5	1	0.00	0:92.0
nbacourt_1818_frame_0012_png.rf.ba4f29	5	1	0.00	0:92.0
nbacourt_1828_frame_0012_png.rf.f96ea7	5	1	0.00	0:92.0
nbacourt_2067_frame_0005_png.rf.936ff9	5	1	0.00	11:58.5
nbacourt_1377_frame_0007_png.rf.38cbd3	5	0	0.75	
nbacourt_1410_frame_0007_png.rf.7b2233	5	0	0.75	
nbacourt_1417_frame_0007_png.rf.86a95d	5	0	0.75	
nbacourt_0036_frame_0000_png.rf.3a5a32	14	0	0.53	
nbacourt_0015_frame_0000_png.rf.1ea1ef	8	0	0.49	
nbacourt_0016_frame_0000_png.rf.1ebc90	11	0	0.46	
nbacourt_0033_frame_0000_png.rf.381a8f	11	0	0.44	
nbacourt_0005_frame_0000_png.rf.0d16c8	7	0	0.44	
nbacourt_0017_frame_0000_png.rf.1f030d	12	0	0.43	
nbacourt_0422_frame_0002_png.rf.7b8849	6	0	0.41	
nbacourt_0439_frame_0002_png.rf.8cd6ed	6	0	0.41	
nbacourt_0526_frame_0002_png.rf.f6a34d	6	0	0.41	
nbacourt_0369_frame_0002_png.rf.3ac07c	5	0	0.37	
nbacourt_0485_frame_0002_png.rf.c5497a	5	0	0.37	
