rank	file	frame	status	res_before	res_after	n_match	spread
0	0000_nbacourt_0005_frame_0000_png.rf.0d16c8.jpg	nbacourt_0005_frame_0000_png.rf.0d16c8	KEPT	5.634334564208984	5.634334564208984	52	0.626
1	0001_nbacourt_0007_frame_0000_png.rf.0ecfe3.jpg	nbacourt_0007_frame_0000_png.rf.0ecfe3	KEPT	4.910171985626221	4.910171985626221	67	0.595
2	0002_nbacourt_0009_frame_0000_png.rf.14c3b0.jpg	nbacourt_0009_frame_0000_png.rf.14c3b0	KEPT	4.5076751708984375	4.5076751708984375	63	0.549
3	0003_nbacourt_0617_frame_0003_png.rf.62b951.jpg	nbacourt_0617_frame_0003_png.rf.62b951	KEPT	4.0132880210876465	4.0132880210876465	17	0.000
4	0004_nbacourt_0635_frame_0003_png.rf.728424.jpg	nbacourt_0635_frame_0003_png.rf.728424	KEPT	4.013133525848389	4.013133525848389	17	0.000
5	0005_nbacourt_2183_frame_0001_png.rf.eb8a7b.jpg	nbacourt_2183_frame_0001_png.rf.eb8a7b	KEPT	3.9399828910827637	3.9399828910827637	60	0.409
6	0006_nbacourt_0382_frame_0002_png.rf.494ea3.jpg	nbacourt_0382_frame_0002_png.rf.494ea3	KEPT	3.884103298187256	3.884103298187256	122	0.242
7	0007_nbacourt_2011_frame_0002_png.rf.762091.jpg	nbacourt_2011_frame_0002_png.rf.762091	KEPT	3.7293550968170166	3.7293550968170166	34	0.000
8	0008_nbacourt_1973_frame_0033_png.rf.619944.jpg	nbacourt_1973_frame_0033_png.rf.619944	KEPT	3.6081790924072266	3.6081790924072266	47	0.209
9	0009_nbacourt_0014_frame_0000_png.rf.1e07f8.jpg	nbacourt_0014_frame_0000_png.rf.1e07f8	KEPT	3.568556308746338	3.568556308746338	79	0.329
10	0010_nbacourt_1750_frame_0010_png.rf.fecdee.jpg	nbacourt_1750_frame_0010_png.rf.fecdee	KEPT	3.5094175338745117	3.5094175338745117	49	0.570
11	0011_nbacourt_0341_frame_0002_png.rf.0ea98a.jpg	nbacourt_0341_frame_0002_png.rf.0ea98a	KEPT	3.5053515434265137	3.5053515434265137	56	0.450
12	0012_nbacourt_1971_frame_0033_png.rf.08b7d5.jpg	nbacourt_1971_frame_0033_png.rf.08b7d5	KEPT	3.4661731719970703	3.4661731719970703	61	0.329
13	0013_nbacourt_2227_frame_0007_png.rf.16c73f.jpg	nbacourt_2227_frame_0007_png.rf.16c73f	KEPT	3.4441492557525635	3.4441492557525635	86	0.362
14	0014_nbacourt_0376_frame_0002_png.rf.42e780.jpg	nbacourt_0376_frame_0002_png.rf.42e780	KEPT	3.4032578468322754	3.4032578468322754	45	0.237
15	0015_nbacourt_2136_frame_0009_png.rf.ef7527.jpg	nbacourt_2136_frame_0009_png.rf.ef7527	KEPT	3.379209518432617	3.379209518432617	38	0.419
16	0016_nbacourt_1972_frame_0033_png.rf.3b5796.jpg	nbacourt_1972_frame_0033_png.rf.3b5796	KEPT	3.3780436515808105	3.3780436515808105	53	0.329
17	0017_nbacourt_1661_frame_0009_png.rf.9f9448.jpg	nbacourt_1661_frame_0009_png.rf.9f9448	KEPT	3.370238780975342	3.370238780975342	72	0.179
18	0018_nbacourt_1818_frame_0012_png.rf.ba4f29.jpg	nbacourt_1818_frame_0012_png.rf.ba4f29	KEPT	3.3362069129943848	3.3362069129943848	112	0.514
19	0019_nbacourt_1792_frame_0011_png.rf.d0b4eb.jpg	nbacourt_1792_frame_0011_png.rf.d0b4eb	KEPT	3.31714129447937	3.31714129447937	51	0.444
20	0020_nbacourt_0636_frame_0003_png.rf.752c7d.jpg	nbacourt_0636_frame_0003_png.rf.752c7d	KEPT	3.296022891998291	3.296022891998291	72	0.224
21	0021_nbacourt_1740_frame_0010_png.rf.c1337f.jpg	nbacourt_1740_frame_0010_png.rf.c1337f	KEPT	3.2434229850769043	3.2434229850769043	58	0.327
22	0022_nbacourt_1720_frame_0010_png.rf.71f6c7.jpg	nbacourt_1720_frame_0010_png.rf.71f6c7	KEPT	3.242363214492798	3.242363214492798	56	0.549
23	0023_nbacourt_1125_frame_0005_png.rf.cd1939.jpg	nbacourt_1125_frame_0005_png.rf.cd1939	KEPT	3.2298879623413086	3.2298879623413086	79	0.225
24	0024_nbacourt_1770_frame_0011_png.rf.5fbc03.jpg	nbacourt_1770_frame_0011_png.rf.5fbc03	KEPT	3.2223668098449707	3.2223668098449707	45	0.336
25	0025_nbacourt_1635_frame_0009_png.rf.5fe3ac.jpg	nbacourt_1635_frame_0009_png.rf.5fe3ac	KEPT	3.209632396697998	3.209632396697998	79	0.354
26	0026_nbacourt_0206_frame_0001_png.rf.578463.jpg	nbacourt_0206_frame_0001_png.rf.578463	KEPT	3.20664644241333	3.20664644241333	37	0.432
27	0027_nbacourt_1029_frame_0005_png.rf.63b7e0.jpg	nbacourt_1029_frame_0005_png.rf.63b7e0	KEPT	3.195488452911377	3.195488452911377	85	0.256
