frame	n_orange	suspect_orange	suspect_total	median_reproj_ft	suspect_idx:err
nbacourt_0632_frame_0003_png.rf.705285	11	11	11	0.13	24:67.8 18:64.9 21:59.6 22:56.2 19:54.3 23:53.9 15:38.7 16:36.0 13:9.3 7:7.3 10:5.8
nbacourt_1827_frame_0012_png.rf.f22dda	20	10	12	0.58	1:89.6 12:84.8 7:84.6 2:80.1 0:79.2 9:74.3 6:72.4 10:70.2 3:70.1 13:67.5 11:64.5 21:38.7
nbacourt_1865_frame_0014_png.rf.6bbe06	14	10	10	1.02	1:95.2 0:94.4 7:89.3 2:83.6 9:78.3 6:76.3 3:74.1 10:71.7 13:71.5 11:67.1
nbacourt_0965_frame_0005_png.rf.1009da	13	9	9	0.86	0:82.0 1:81.4 7:77.3 2:74.6 6:67.9 9:67.9 10:64.1 13:62.1 11:60.1
nbacourt_1871_frame_0014_png.rf.a131d6	13	9	9	0.65	1:95.8 0:94.6 7:89.5 2:83.8 9:78.3 6:76.3 3:74.1 10:71.6 11:67.1
nbacourt_1153_frame_0005_png.rf.ecf0b1	14	8	10	0.50	1:93.3 2:93.0 0:92.7 7:88.8 9:78.7 6:76.0 3:73.7 10:73.6 13:73.0 11:68.7
nbacourt_1066_frame_0005_png.rf.8d0c24	8	8	8	0.18	12:62.0 13:51.6 15:46.0 16:33.2 19:18.6 24:15.5 22:13.2 28:10.3
nbacourt_1093_frame_0005_png.rf.b0e76a	12	8	8	0.80	0:88.7 1:88.6 7:82.6 2:80.3 9:72.5 6:72.3 10:68.1 11:63.7
nbacourt_1698_frame_0010_png.rf.1af236	8	8	8	0.09	18:71.0 19:61.8 15:52.1 16:43.9 12:30.0 13:25.6 7:22.9 10:21.0
nbacourt_1266_frame_0006_png.rf.9dd03f	12	7	8	0.27	0:94.6 1:94.5 2:93.8 7:89.5 9:79.1 6:76.6 10:73.7 11:68.7
nbacourt_1611_frame_0009_png.rf.15b007	12	7	8	0.65	0:88.0 1:88.0 7:82.5 2:79.8 9:72.9 6:71.9 11:63.9 30:24.9
nbacourt_1934_frame_0020_png.rf.55621c	8	7	7	0.36	31:11.5 25:9.5 26:8.5 19:7.7 16:7.2 22:6.7 28:4.6
nbacourt_1162_frame_0005_png.rf.f6b0c1	12	6	8	0.46	1:93.9 2:93.4 0:93.2 7:88.6 9:78.5 6:76.0 10:73.3 11:68.4
nbacourt_0887_frame_0004_png.rf.aa8e7a	10	6	7	0.87	18:56.9 19:48.9 15:26.5 16:18.8 3:11.4 13:7.0 1:5.7
nbacourt_0541_frame_0003_png.rf.0ac979	6	6	6	0.12	12:26.4 13:21.2 16:17.5 19:15.5 24:15.0 22:11.4
nbacourt_0604_frame_0003_png.rf.58156b	6	6	6	0.14	19:18.3 16:12.3 10:12.2 13:11.6 8:11.0 7:9.5
nbacourt_1928_frame_0019_png.rf.b05908	8	6	6	0.51	31:12.1 25:10.7 16:10.4 19:8.7 26:8.2 22:7.3
nbacourt_1940_frame_0020_png.rf.f51340	8	6	6	0.42	12:26.3 16:7.1 25:6.9 19:6.6 26:6.4 22:4.4
nbacourt_2120_frame_0008_png.rf.923fd0	10	6	6	0.97	1:96.6 2:82.8 9:78.3 6:75.9 10:70.4 11:66.6
nbacourt_0681_frame_0003_png.rf.b140ca	10	5	10	0.90	30:963.1 26:863.9 29:280.5 28:208.4 25:156.6 18:78.0 22:65.7 24:32.2 21:25.7 23:15.1
nbacourt_1206_frame_0006_png.rf.38df5a	11	5	10	0.50	27:74.5 21:68.3 29:60.7 23:52.9 24:51.1 18:49.3 30:47.6 19:39.1 15:18.4 16:12.6
nbacourt_1215_frame_0006_png.rf.4568c0	14	5	10	0.74	27:100.0 28:96.8 24:94.7 29:85.3 21:80.7 26:76.9 22:73.8 30:73.4 23:67.8 2:10.7
nbacourt_1237_frame_0006_png.rf.65b78e	9	5	9	0.58	28:207.1 27:94.6 18:34.1 13:31.4 21:28.5 29:19.8 16:19.7 23:15.7 24:13.9
nbacourt_1851_frame_0013_png.rf.e513fa	15	5	9	0.38	1:87.5 7:83.3 0:82.5 9:75.6 6:70.8 10:68.2 2:66.7 11:63.2 3:55.2
nbacourt_2247_frame_0011_png.rf.166560	14	5	9	0.62	0:108.8 1:92.1 7:88.0 2:87.5 9:74.2 6:73.7 3:72.3 10:68.4 11:67.9
nbacourt_0656_frame_0003_png.rf.957d8c	5	5	5	0.14	19:19.4 16:13.1 10:13.0 13:12.4 7:10.4
