rank	file	frame	game	floor_frac	old-aug_sane	old-aug_res	old-aug_match	old-aug_pts	NEW-33_sane	NEW-33_res	NEW-33_match	NEW-33_pts	NEW-grid_sane	NEW-grid_res	NEW-grid_match	NEW-grid_pts
0	0000_8Ap3jYl0nAA_s1320_t0002.jpg	8Ap3jYl0nAA_s1320_t0002	2019 TOR@PHI	0.150	0	nan	0	10	1	nan	19	10	0	nan	0	11
1	0001_8Ap3jYl0nAA_s1320_t0004.jpg	8Ap3jYl0nAA_s1320_t0004	2019 TOR@PHI	0.182	1	5.022578716278076	37	10	0	nan	0	0	0	nan	0	0
2	0002_8Ap3jYl0nAA_s1320_t0040.jpg	8Ap3jYl0nAA_s1320_t0040	2019 TOR@PHI	0.130	0	nan	0	0	0	nan	0	0	0	nan	0	0
3	0003_8Ap3jYl0nAA_s1320_t0044.jpg	8Ap3jYl0nAA_s1320_t0044	2019 TOR@PHI	0.128	0	nan	0	0	0	nan	0	0	0	nan	0	0
4	0004_8Ap3jYl0nAA_s1320_t0046.jpg	8Ap3jYl0nAA_s1320_t0046	2019 TOR@PHI	0.124	0	nan	0	0	0	nan	0	0	0	nan	0	0
5	0005_8Ap3jYl0nAA_s1320_t0050.jpg	8Ap3jYl0nAA_s1320_t0050	2019 TOR@PHI	0.126	0	nan	0	0	1	nan	1	6	0	nan	0	0
6	0006_8Ap3jYl0nAA_s1320_t0052.jpg	8Ap3jYl0nAA_s1320_t0052	2019 TOR@PHI	0.120	1	2.7113819122314453	30	15	1	nan	15	6	0	nan	0	0
7	0007_8Ap3jYl0nAA_s1320_t0056.jpg	8Ap3jYl0nAA_s1320_t0056	2019 TOR@PHI	0.142	1	3.9751439094543457	38	11	0	nan	0	0	0	nan	0	0
8	0008_8Ap3jYl0nAA_s1320_t0058.jpg	8Ap3jYl0nAA_s1320_t0058	2019 TOR@PHI	0.178	0	nan	0	4	1	nan	2	6	0	nan	0	0
9	0009_8Ap3jYl0nAA_s1320_t0096.jpg	8Ap3jYl0nAA_s1320_t0096	2019 TOR@PHI	0.316	1	5.500039100646973	45	9	1	4.031108379364014	66	15	0	nan	0	0
10	0010_8Ap3jYl0nAA_s1320_t0130.jpg	8Ap3jYl0nAA_s1320_t0130	2019 TOR@PHI	0.140	0	nan	0	0	0	nan	0	0	0	nan	0	0
11	0011_8Ap3jYl0nAA_s1320_t0164.jpg	8Ap3jYl0nAA_s1320_t0164	2019 TOR@PHI	0.126	1	nan	16	10	0	nan	0	5	0	nan	0	23
12	0012_8Ap3jYl0nAA_s1320_t0198.jpg	8Ap3jYl0nAA_s1320_t0198	2019 TOR@PHI	0.236	1	nan	10	13	1	nan	9	7	0	nan	0	0
13	0013_8Ap3jYl0nAA_s1320_t0204.jpg	8Ap3jYl0nAA_s1320_t0204	2019 TOR@PHI	0.375	1	nan	13	6	1	nan	6	4	0	nan	0	15
14	0014_8Ap3jYl0nAA_s1320_t0206.jpg	8Ap3jYl0nAA_s1320_t0206	2019 TOR@PHI	0.357	1	5.349213123321533	29	10	0	nan	0	3	0	nan	0	27
15	0015_8Ap3jYl0nAA_s1320_t0232.jpg	8Ap3jYl0nAA_s1320_t0232	2019 TOR@PHI	0.351	1	5.939357757568359	30	6	1	nan	14	7	0	nan	0	0
16	0016_8Ap3jYl0nAA_s3300_t0020.jpg	8Ap3jYl0nAA_s3300_t0020	2019 TOR@PHI	0.203	1	3.385014295578003	49	9	0	nan	0	0	0	nan	0	12
17	0017_8Ap3jYl0nAA_s3300_t0046.jpg	8Ap3jYl0nAA_s3300_t0046	2019 TOR@PHI	0.356	0	nan	0	3	0	nan	0	0	0	nan	0	0
18	0018_8Ap3jYl0nAA_s3300_t0112.jpg	8Ap3jYl0nAA_s3300_t0112	2019 TOR@PHI	0.265	0	nan	0	4	0	nan	0	0	0	nan	0	0
19	0019_8Ap3jYl0nAA_s3300_t0174.jpg	8Ap3jYl0nAA_s3300_t0174	2019 TOR@PHI	0.284	1	4.494606018066406	53	6	0	nan	0	0	0	nan	0	0
20	0020_8Ap3jYl0nAA_s3300_t0208.jpg	8Ap3jYl0nAA_s3300_t0208	2019 TOR@PHI	0.203	1	6.43154239654541	31	15	1	4.203461647033691	36	9	0	nan	0	13
21	0021_8Ap3jYl0nAA_s3300_t0258.jpg	8Ap3jYl0nAA_s3300_t0258	2019 TOR@PHI	0.159	0	nan	0	9	1	nan	10	5	0	nan	0	4
22	0022_8Ap3jYl0nAA_s3300_t0290.jpg	8Ap3jYl0nAA_s3300_t0290	2019 TOR@PHI	0.133	0	nan	0	0	0	nan	0	0	0	nan	0	0
23	0023_8Ap3jYl0nAA_s3300_t0292.jpg	8Ap3jYl0nAA_s3300_t0292	2019 TOR@PHI	0.126	0	nan	0	0	0	nan	0	0	0	nan	0	0
24	0024_8Ap3jYl0nAA_s5340_t0036.jpg	8Ap3jYl0nAA_s5340_t0036	2019 TOR@PHI	0.255	1	5.488576889038086	49	9	1	3.994854211807251	88	17	0	nan	0	0
25	0025_8Ap3jYl0nAA_s5340_t0204.jpg	8Ap3jYl0nAA_s5340_t0204	2019 TOR@PHI	0.123	1	nan	14	6	0	nan	0	0	0	nan	0	0
26	0026_8Ap3jYl0nAA_s5340_t0276.jpg	8Ap3jYl0nAA_s5340_t0276	2019 TOR@PHI	0.199	0	nan	0	0	0	nan	0	0	0	nan	0	0
27	0027_8Ap3jYl0nAA_s5340_t0278.jpg	8Ap3jYl0nAA_s5340_t0278	2019 TOR@PHI	0.199	0	nan	0	0	0	nan	0	0	0	nan	0	0
28	0028_8Ap3jYl0nAA_s5340_t0284.jpg	8Ap3jYl0nAA_s5340_t0284	2019 TOR@PHI	0.160	1	4.924463272094727	54	7	0	nan	0	0	0	nan	0	0
29	0029_8Ap3jYl0nAA_s5340_t0296.jpg	8Ap3jYl0nAA_s5340_t0296	2019 TOR@PHI	0.250	1	5.670269012451172	34	15	1	3.500046968460083	60	11	0	nan	0	0
30	0030_92fLApYaCGI_s1380_t0014.jpg	92fLApYaCGI_s1380_t0014	1998 CHI@UTA	0.169	0	nan	0	0	0	nan	0	0	0	nan	0	0
31	0031_92fLApYaCGI_s1380_t0016.jpg	92fLApYaCGI_s1380_t0016	1998 CHI@UTA	0.268	0	nan	0	0	0	nan	0	0	0	nan	0	0
32	0032_92fLApYaCGI_s1380_t0026.jpg	92fLApYaCGI_s1380_t0026	1998 CHI@UTA	0.206	1	2.39803147315979	30	7	0	nan	0	5	0	nan	0	0
33	0033_92fLApYaCGI_s1380_t0028.jpg	92fLApYaCGI_s1380_t0028	1998 CHI@UTA	0.320	0	nan	0	13	0	nan	0	0	0	nan	0	0
34	0034_92fLApYaCGI_s1380_t0034.jpg	92fLApYaCGI_s1380_t0034	1998 CHI@UTA	0.135	1	nan	8	12	0	nan	0	0	0	nan	0	0
35	0035_92fLApYaCGI_s1380_t0036.jpg	92fLApYaCGI_s1380_t0036	1998 CHI@UTA	0.179	1	7.500009059906006	23	7	0	nan	0	0	0	nan	0	0
