rank	file	frame	res_px	n_match	n_kp	spread	n33	ngrid
0	0000_hv_8Ap3jYl0nAA_s3300_003358.jpg	hv_8Ap3jYl0nAA_s3300_003358	2.164	27	40	0.315	13	41
1	0001_hv_8Ap3jYl0nAA_s3300_003518.jpg	hv_8Ap3jYl0nAA_s3300_003518	2.087	27	35	0.428	15	36
2	0002_hv_8Ap3jYl0nAA_s3300_003330.jpg	hv_8Ap3jYl0nAA_s3300_003330	2.004	36	25	0.143	11	27
3	0003_hv_8Ap3jYl0nAA_s3300_003408.jpg	hv_8Ap3jYl0nAA_s3300_003408	1.958	38	30	0.334	13	31
4	0004_hv_8Ap3jYl0nAA_s3300_003404.jpg	hv_8Ap3jYl0nAA_s3300_003404	1.923	45	32	0.347	14	34
5	0005_hv_8Ap3jYl0nAA_s3300_003452.jpg	hv_8Ap3jYl0nAA_s3300_003452	1.723	37	27	0.298	13	31
6	0006_hv_8Ap3jYl0nAA_s3300_003368.jpg	hv_8Ap3jYl0nAA_s3300_003368	1.701	37	23	0.346	11	25
7	0007_hv_8Ap3jYl0nAA_s3300_003366.jpg	hv_8Ap3jYl0nAA_s3300_003366	1.580	31	25	0.198	12	27
8	0008_hv_8Ap3jYl0nAA_s3300_003496.jpg	hv_8Ap3jYl0nAA_s3300_003496	1.578	39	35	0.300	12	38
9	0009_hv_8Ap3jYl0nAA_s3300_003440.jpg	hv_8Ap3jYl0nAA_s3300_003440	1.567	33	31	0.175	12	36
10	0010_hv_8Ap3jYl0nAA_s3300_003370.jpg	hv_8Ap3jYl0nAA_s3300_003370	1.562	45	40	0.354	10	42
11	0011_hv_8Ap3jYl0nAA_s3300_003478.jpg	hv_8Ap3jYl0nAA_s3300_003478	1.541	35	44	0.440	15	46
12	0012_hv_8Ap3jYl0nAA_s3300_003494.jpg	hv_8Ap3jYl0nAA_s3300_003494	1.487	40	53	0.548	19	64
13	0013_hv_8Ap3jYl0nAA_s3300_003498.jpg	hv_8Ap3jYl0nAA_s3300_003498	1.146	56	29	0.492	12	31
