rank	file	frame	res_px	n_match	n_kp	spread	n33	ngrid
0	0000_hv_qAeUUwn_A8s_s2580_002616.jpg	hv_qAeUUwn_A8s_s2580_002616	2.187	25	37	0.494	9	39
1	0001_hv_qAeUUwn_A8s_s2580_002602.jpg	hv_qAeUUwn_A8s_s2580_002602	2.184	54	47	0.500	14	49
2	0002_hv_qAeUUwn_A8s_s2580_002826.jpg	hv_qAeUUwn_A8s_s2580_002826	2.147	39	33	0.271	12	37
3	0003_hv_qAeUUwn_A8s_s2580_002678.jpg	hv_qAeUUwn_A8s_s2580_002678	2.146	29	41	0.363	10	41
4	0004_hv_qAeUUwn_A8s_s2580_002608.jpg	hv_qAeUUwn_A8s_s2580_002608	2.098	55	32	0.374	13	34
5	0005_hv_qAeUUwn_A8s_s2580_002772.jpg	hv_qAeUUwn_A8s_s2580_002772	2.005	58	43	0.573	14	43
6	0006_hv_qAeUUwn_A8s_s2580_002618.jpg	hv_qAeUUwn_A8s_s2580_002618	2.000	25	39	0.451	13	41
7	0007_hv_qAeUUwn_A8s_s2580_002646.jpg	hv_qAeUUwn_A8s_s2580_002646	1.950	36	35	0.450	14	36
8	0008_hv_qAeUUwn_A8s_s2580_002816.jpg	hv_qAeUUwn_A8s_s2580_002816	1.937	31	30	0.320	12	33
9	0009_hv_qAeUUwn_A8s_s2580_002622.jpg	hv_qAeUUwn_A8s_s2580_002622	1.926	62	34	0.501	12	36
10	0010_hv_qAeUUwn_A8s_s2580_002822.jpg	hv_qAeUUwn_A8s_s2580_002822	1.920	25	33	0.237	12	36
11	0011_hv_qAeUUwn_A8s_s2580_002658.jpg	hv_qAeUUwn_A8s_s2580_002658	1.908	33	39	0.520	13	46
12	0012_hv_qAeUUwn_A8s_s2580_002606.jpg	hv_qAeUUwn_A8s_s2580_002606	1.859	56	38	0.552	13	38
13	0013_hv_qAeUUwn_A8s_s2580_002774.jpg	hv_qAeUUwn_A8s_s2580_002774	1.858	40	39	0.540	13	40
14	0014_hv_qAeUUwn_A8s_s2580_002784.jpg	hv_qAeUUwn_A8s_s2580_002784	1.858	31	30	0.397	12	31
15	0015_hv_qAeUUwn_A8s_s2580_002788.jpg	hv_qAeUUwn_A8s_s2580_002788	1.849	52	31	0.326	12	32
16	0016_hv_qAeUUwn_A8s_s2580_002644.jpg	hv_qAeUUwn_A8s_s2580_002644	1.833	46	35	0.458	14	37
17	0017_hv_qAeUUwn_A8s_s2580_002810.jpg	hv_qAeUUwn_A8s_s2580_002810	1.832	35	41	0.273	10	43
18	0018_hv_qAeUUwn_A8s_s2580_002584.jpg	hv_qAeUUwn_A8s_s2580_002584	1.811	44	38	0.585	15	44
19	0019_hv_qAeUUwn_A8s_s2580_002696.jpg	hv_qAeUUwn_A8s_s2580_002696	1.805	54	25	0.342	12	27
20	0020_hv_qAeUUwn_A8s_s2580_002814.jpg	hv_qAeUUwn_A8s_s2580_002814	1.790	31	32	0.577	13	39
21	0021_hv_qAeUUwn_A8s_s2580_002668.jpg	hv_qAeUUwn_A8s_s2580_002668	1.783	49	29	0.219	14	31
22	0022_hv_qAeUUwn_A8s_s2580_002790.jpg	hv_qAeUUwn_A8s_s2580_002790	1.716	52	30	0.409	12	33
23	0023_hv_qAeUUwn_A8s_s2580_002592.jpg	hv_qAeUUwn_A8s_s2580_002592	1.671	37	41	0.477	15	42
24	0024_hv_qAeUUwn_A8s_s2580_002782.jpg	hv_qAeUUwn_A8s_s2580_002782	1.656	38	29	0.354	12	32
25	0025_hv_qAeUUwn_A8s_s2580_002670.jpg	hv_qAeUUwn_A8s_s2580_002670	1.610	35	26	0.326	13	30
26	0026_hv_qAeUUwn_A8s_s2580_002768.jpg	hv_qAeUUwn_A8s_s2580_002768	1.533	53	24	0.353	11	26
27	0027_hv_qAeUUwn_A8s_s2580_002684.jpg	hv_qAeUUwn_A8s_s2580_002684	1.517	71	37	0.600	12	40
28	0028_hv_qAeUUwn_A8s_s2580_002686.jpg	hv_qAeUUwn_A8s_s2580_002686	1.511	66	37	0.587	12	39
29	0029_hv_qAeUUwn_A8s_s2580_002812.jpg	hv_qAeUUwn_A8s_s2580_002812	1.466	31	45	0.617	23	70
30	0030_hv_qAeUUwn_A8s_s2580_002666.jpg	hv_qAeUUwn_A8s_s2580_002666	1.440	32	32	0.197	14	34
31	0031_hv_qAeUUwn_A8s_s2580_002694.jpg	hv_qAeUUwn_A8s_s2580_002694	1.258	60	30	0.242	12	32
32	0032_hv_qAeUUwn_A8s_s2580_002620.jpg	hv_qAeUUwn_A8s_s2580_002620	1.240	50	39	0.618	15	44
33	0033_hv_qAeUUwn_A8s_s2580_002590.jpg	hv_qAeUUwn_A8s_s2580_002590	1.052	28	43	0.251	15	44
34	0034_hv_qAeUUwn_A8s_s2580_002842.jpg	hv_qAeUUwn_A8s_s2580_002842	0.704	48	25	0.396	12	28
35	0035_hv_qAeUUwn_A8s_s2580_002594.jpg	hv_qAeUUwn_A8s_s2580_002594	0.562	43	30	0.444	14	32
36	0036_hv_qAeUUwn_A8s_s2580_002624.jpg	hv_qAeUUwn_A8s_s2580_002624	0.500	63	32	0.543	12	36
37	0037_hv_qAeUUwn_A8s_s2580_002700.jpg	hv_qAeUUwn_A8s_s2580_002700	0.276	58	25	0.291	12	27
